"municipiouf";"2013";"2015";"2017"
"São João da Baliza, RR";5;8;11
"São João da Lagoa, MG";4;11;11
"São João do Arraial, PI";12;11;11
"São João do Oriente, MG";5;16;11
"São João do Paraíso, MA";12;12;11
"São João Nepomuceno, MG";6;9;11
"São José das Missões, RS";NA;NA;11
"São José do Peixe, PI";9;8;11
"São José do Seridó, RN";4;12;11
"São José do Vale do Rio Preto, RJ";7;13;11
"São José dos Basílios, MA";NA;NA;11
"São Luis do Piauí, PI";8;10;11
"São Martinho, RS";15;13;11
"São Miguel da Baixa Grande, PI";5;7;11
"São Pedro da Cipa, MT";15;11;11
"São Simão, SP";4;10;11
"São Valério, TO";NA;NA;11
"São Vicente de Minas, MG";6;11;11
"Sebastião Laranjeiras, BA";12;12;11
"Sem-Peixe, MG";NA;NA;11
"Senador Cortes, MG";10;12;11
"Senador Elói de Souza, RN";6;10;11
"Serra do Mel, RN";16;16;11
"Sigefredo Pacheco, PI";11;8;11
"Sucupira, TO";3;6;11
"Sulina, PR";5;14;11
"Sumé, PB";8;12;11
"Tabuleiro, MG";9;12;11
"Taipas do Tocantins, TO";9;12;11
"Taquaral de Goiás, GO";8;11;11
"Timbó Grande, SC";10;7;11
"Trindade do Sul, RS";10;9;11
"Uiramutã, RR";3;5;11
"Uruana de Minas, MG";3;3;11
"Varjão de Minas, MG";10;9;11
"Varzedo, BA";11;11;11
"Vereda, BA";7;6;11
"Viçosa, RN";8;11;11
"Vila Lângaro, RS";7;11;11
"Vila Nova do Piauí, PI";3;10;11
"Volta Grande, MG";3;4;11
"Wagner, BA";10;8;11
"Wall Ferraz, PI";6;10;11
"Abaeté, MG";18;4;10
"Abreulândia, TO";8;14;10
"Afrânio, PE";13;12;10
"Altamira do Paraná, PR";12;12;10
"Alto Alegre dos Parecis, RO";NA;4;10
"Alto Paraíso de Goiás, GO";4;5;10
"Alto Paraíso, RO";13;10;10
"Alto Rio Doce, MG";1;4;10
"Amapá do Maranhão, MA";2;3;10
"Ametista do Sul, RS";8;7;10
"Amparo de São Francisco, SE";4;3;10
"Anhembi, SP";7;8;10
"Antônio Cardoso, BA";3;11;10
"Aporé, GO";5;5;10
"Araças, BA";7;11;10
"Aragominas, TO";9;10;10
"Arapoema, TO";6;6;10
"Araricá, RS";NA;8;10
"Arroio do Tigre, RS";13;15;10
"Avanhandava, SP";NA;4;10
"Avelinópolis, GO";6;9;10
"Axixá do Tocantins, TO";8;9;10
"Baliza, GO";10;11;10
"Balneário Barra do Sul, SC";5;8;10
"Barra Bonita, SP";4;5;10
"Barrinha, SP";NA;6;10
"Bela Vista da Caroba, PR";13;29;10
"Boa Vista do Buricá, RS";11;14;10
"Bom Jesus do Galho, MG";14;13;10
"Borrazópolis, PR";12;9;10
"Brasileira, PI";13;13;10
"Brazópolis, MG";NA;NA;10
"Buriti de Goiás, GO";6;12;10
"Cacaulândia, RO";5;8;10
"Cachoeira Grande, MA";14;16;10
"Caetanos, BA";3;32;10
"Camargo, RS";7;12;10
"Campina das Missões, RS";NA;NA;10
"Campo Alegre do Fidalgo, PI";8;9;10
"Campo do Meio, MG";4;11;10
"Campo Grande, AL";3;8;10
"Cana Verde, MG";6;11;10
"Canabrava do Norte, MT";5;14;10
"Canavieira, PI";6;11;10
"Candeal, BA";7;6;10
"Capitão de Campos, PI";5;4;10
"Capitólio, MG";3;9;10
"Caraúbas, PB";5;3;10
"Carmolândia, TO";9;13;10
"Carrasco Bonito, TO";9;7;10
"Caxambu do Sul, SC";3;5;10
"Centenário, TO";8;9;10
"Chã Preta, AL";7;7;10
"Colniza, MT";11;11;10
"Colônia do Gurguéia, PI";7;21;10
"Conceição dos Ouros, MG";NA;NA;10
"Conselheiro Pena, MG";7;15;10
"Coqueiral, MG";1;8;10
"Coronel Ezequiel, RN";7;12;10
"Cravolândia, BA";9;7;10
"Cruzeiro da Fortaleza, MG";9;10;10
"Cruzeta, RN";11;12;10
"Cuitegi, PB";3;3;10
"Curral de Dentro, MG";9;10;10
"Darcinópolis, TO";11;10;10
"Diamante do Sul, PR";8;8;10
"Diamante, PB";7;13;10
"Divino das Laranjeiras, MG";NA;NA;10
"Divino de São Lourenço, ES";13;8;10
"Divinolândia de Minas, MG";8;6;10
"Dois Irmãos das Missões, RS";NA;NA;10
"Dores de Campos, MG";2;7;10
"Dores do Turvo, MG";12;17;10
"Edealina, GO";5;9;10
"Entre Rios do Oeste, PR";5;10;10
"Envira, AM";7;9;10
"Erval Velho, SC";5;13;10
"Esperantinópolis, MA";9;11;10
"Estrela do Norte, SP";NA;8;10
"Estrela Velha, RS";7;9;10
"Fazenda Vilanova, RS";7;9;10
"Fênix, PR";6;6;10
"Filadélfia, TO";4;4;10
"Fortaleza dos Nogueiras, MA";NA;NA;10
"Funilândia, MG";12;7;10
"Gameleiras, MG";10;12;10
"Gararu, SE";26;26;10
"Glorinha, RS";7;10;10
"Gouveia, MG";NA;5;10
"Graça Aranha, MA";5;13;10
"Gramado dos Loureiros, RS";NA;NA;10
"Gramado Xavier, RS";6;13;10
"Guaimbê, SP";5;18;10
"Guaraci, SP";6;12;10
"Guaraciaba, SC";4;10;10
"Guaraciama, MG";6;5;10
"Guarantã do Norte, MT";12;10;10
"Guarantã, SP";10;12;10
"Guararapes, SP";9;11;10
"Guatambú, SC";4;5;10
"Ibarama, RS";9;10;10
"Ibitiara, BA";19;12;10
"Ibitirama, ES";10;13;10
"Icaraí de Minas, MG";4;10;10
"Igaraçu do Tietê, SP";8;7;10
"Iguaraçu, PR";7;16;10
"Iguatama, MG";4;5;10
"Inhangapi, PA";10;15;10
"Itaguari, GO";8;15;10
"Itajobi, SP";7;12;10
"Italva, RJ";7;8;10
"Itanhangá, MT";9;9;10
"Itapiratins, TO";6;8;10
"Itariri, SP";7;9;10
"Itatinga, SP";8;2;10
"Jaboti, PR";2;7;10
"Jacuí, MG";4;7;10
"Jardim de Angicos, RN";6;15;10
"Jaú do Tocantins, TO";5;11;10
"Jenipapo dos Vieiras, MA";NA;NA;10
"Jequeri, MG";5;6;10
"Jordão, AC";7;4;10
"José Gonçalves de Minas, MG";12;12;10
"Juazeirinho, PB";1;10;10
"Junco do Seridó, PB";5;6;10
"Jupiá, SC";10;10;10
"Jussari, BA";4;8;10
"Lafaiete Coutinho, BA";9;10;10
"Lagoa Grande, MG";13;7;10
"Lagoa Salgada, RN";5;7;10
"Lagoa Santa, GO";7;6;10
"Lajeado do Bugre, RS";5;11;10
"Lamarão, BA";7;5;10
"Lastro, PB";4;5;10
"Lauro Muller, SC";4;5;10
"Liberdade, MG";5;5;10
"Macaubal, SP";8;10;10
"Machadinho, RS";7;13;10
"Mampituba, RS";3;7;10
"Maravilhas, MG";2;8;10
"Marilac, MG";9;19;10
"Maripá, PR";5;10;10
"Mata Verde, MG";8;9;10
"Mata, RS";4;11;10
"Mateiros, TO";16;12;10
"Matutina, MG";6;12;10
"Miguel Leão, PI";5;7;10
"Mirador, PR";6;4;10
"Monjolos, MG";8;5;10
"Monte Castelo, SC";5;10;10
"Monte Formoso, MG";5;11;10
"Mulungu, PB";2;3;10
"Murutinga do Sul, SP";2;9;10
"Nova Alvorada, RS";6;7;10
"Nova Belém, MG";8;11;10
"Nova Módica, MG";5;17;10
"Nova Nazaré, MT";9;10;10
"Nova Ponte, MG";NA;7;10
"Novo Barreiro, RS";4;15;10
"Novo Horizonte, BA";8;4;10
"Olhos-d'Água, MG";NA;NA;10
"Onça de Pitangui, MG";4;12;10
"Ouriçangas, BA";3;7;10
"Ouro Verde de Goiás, GO";6;10;10
"Paim Filho, RS";7;8;10
"Pains, MG";7;8;10
"Palmeira, SC";3;7;10
"Palmeiras, BA";3;14;10
"Palmital, PR";13;18;10
"Papanduva, SC";11;17;10
"Paraíso do Norte, PR";13;17;10
"Pau D'Arco, PA";NA;NA;10
"Paula Cândido, MG";5;4;10
"Paulo Lopes, SC";NA;8;10
"Pavussu, PI";NA;9;10
"Pedra Branca, PB";8;6;10
"Pedra Lavrada, PB";9;9;10
"Pequeri, MG";NA;9;10
"Perdigão, MG";5;9;10
"Pilar, PB";6;4;10
"Pinhal, RS";5;8;10
"Pinhalzinho, SP";8;5;10
"Pirapora do Bom Jesus, SP";11;23;10
"Piraúba, MG";11;9;10
"Planalto da Serra, MT";6;5;10
"Porto Alegre do Tocantins, TO";7;9;10
"Porto Mauá, RS";8;12;10
"Quatá, SP";5;5;10
"Quixabá, PB";8;10;10
"Quixabeira, BA";3;10;10
"Riacho dos Machados, MG";NA;NA;10
"Ribeirão do Sul, SP";4;11;10
"Ribeirãozinho, MT";9;10;10
"Roca Sales, RS";6;8;10
"Rodeio Bonito, RS";7;17;10
"Sagres, SP";5;11;10
"Salgadinho, PB";5;8;10
"Santa Bárbara do Sul, RS";5;8;10
"Santa Cruz de Goiás, GO";7;8;10
"Santa Filomena, PE";4;7;10
"Santa Inês, PR";11;10;10
"Santa Luzia D'Oeste, RO";NA;3;10
"Santa Maria do Cambucá, PE";4;9;10
"Santa Maria, RN";5;13;10
"Santa Rita d'Oeste, SP";NA;NA;10
"Santa Rita do Araguaia, GO";6;9;10
"Santa Rosa do Purus, AC";5;7;10
"Santana da Vargem, MG";6;12;10
"Santo Antônio do Leste, MT";12;9;10
"Santo Inácio do Piauí, PI";9;8;10
"São Domingos do Cariri, PB";2;7;10
"São Domingos do Sul, RS";11;11;10
"São Félix de Minas, MG";10;8;10
"São Félix do Piauí, PI";8;15;10
"São Félix do Tocantins, TO";7;14;10
"São João do Tigre, PB";6;10;10
"São José da Bela Vista, SP";4;9;10
"São José do Brejo do Cruz, PB";6;8;10
"São José do Cerrito, SC";5;8;10
"São José do Herval, RS";3;11;10
"São Lourenço da Serra, SP";11;15;10
"São Lourenço do Oeste, SC";13;23;10
"São Ludgero, SC";3;10;10
"São Miguel do Passa Quatro, GO";4;5;10
"São Pedro das Missões, RS";NA;NA;10
"São Thomé das Letras, MG";NA;NA;10
"Senador Amaral, MG";10;10;10
"Serra Azul de Minas, MG";15;7;10
"Sertanópolis, PR";7;10;10
"Siriri, SE";16;19;10
"Sobrália, MG";6;11;10
"Sud Mennucci, SP";10;10;10
"Tangará, SC";6;7;10
"Tanque Novo, BA";8;6;10
"Tanquinho, BA";4;7;10
"Tasso Fragoso, MA";10;14;10
"Teixeiras, MG";5;8;10
"Terra Nova do Norte, MT";4;8;10
"Tiros, MG";7;5;10
"Três Cachoeiras, RS";9;11;10
"Três Palmeiras, RS";10;9;10
"Upanema, RN";9;9;10
"Vargeão, SC";6;5;10
"Várzea Branca, PI";10;11;10
"Várzea da Roça, BA";6;13;10
"Verdejante, PE";7;13;10
"Vermelho Novo, MG";8;5;10
"Vila Maria, RS";5;7;10
"Virgínia, MG";11;11;10
"Acajutiba, BA";2;3;9
"Águas de Chapecó, SC";2;8;9
"Agudo, RS";4;11;9
"Alagoinha do Piauí, PI";5;9;9
"Alcantil, PB";3;5;9
"Alto Alegre, SP";6;2;9
"Álvaro de Carvalho, SP";5;10;9
"Alvorada do Sul, PR";5;17;9
"Amparo, PB";7;14;9
"Anchieta, SC";9;10;9
"Anita Garibaldi, SC";3;5;9
"Antônio Almeida, PI";8;9;9
"Antônio Carlos, MG";7;7;9
"Arambaré, RS";11;9;9
"Arapuá, MG";8;5;9
"Arroio do Meio, RS";NA;11;9
"Atalaia, PR";8;7;9
"Baianópolis, BA";13;10;9
"Barão do Triunfo, RS";6;5;9
"Belém do Piauí, PI";5;7;9
"Berizal, MG";9;11;9
"Boa Ventura de São Roque, PR";2;6;9
"Boa Vista das Missões, RS";NA;NA;9
"Brejetuba, ES";13;13;9
"Buenópolis, MG";9;9;9
"Bujari, AC";5;5;9
"Buriti Alegre, GO";8;44;9
"Cabaceiras, PB";2;7;9
"Cacimbas, PB";4;4;9
"Caiuá, SP";6;8;9
"Cajobi, SP";4;6;9
"Campinas do Sul, RS";10;11;9
"Canudos do Vale, RS";11;9;9
"Carneirinho, MG";6;12;9
"Caroebe, RR";6;12;9
"Cerro Branco, RS";19;7;9
"Cerro Largo, RS";6;8;9
"Chapada da Natividade, TO";3;8;9
"Colorado, RS";8;7;9
"Condor, RS";5;6;9
"Confins, MG";12;25;9
"Coqueiro Baixo, RS";13;9;9
"Cordisburgo, MG";5;6;9
"Coronel Freitas, SC";3;9;9
"Córrego do Ouro, GO";3;8;9
"Córrego Fundo, MG";8;16;9
"Cristais, MG";7;2;9
"Cunha Porã, SC";13;6;9
"Divinolândia, SP";10;7;9
"Dois Lajeados, RS";5;8;9
"Dom Pedro de Alcântara, RS";7;6;9
"Doutor Maurício Cardoso, RS";6;7;9
"Enéas Marques, PR";5;11;9
"Esmeralda, RS";8;7;9
"Faina, GO";9;8;9
"Farol, PR";3;3;9
"Fartura do Piauí, PI";8;7;9
"Forquetinha, RS";5;5;9
"Fortaleza de Minas, MG";11;10;9
"Fortuna de Minas, MG";7;7;9
"Gália, SP";3;4;9
"General Carneiro, MT";5;6;9
"Getulina, SP";12;13;9
"Goiabeira, MG";6;6;9
"Governador Luiz Rocha, MA";6;10;9
"Guapiaçu, SP";4;13;9
"Guaraqueçaba, PR";NA;7;9
"Herval, RS";8;8;9
"Hulha Negra, RS";2;6;9
"Ibiracatu, MG";7;16;9
"Inhaúma, MG";9;8;9
"Ipuaçu, SC";6;6;9
"Iraí de Minas, MG";5;7;9
"Irapuã, SP";4;6;9
"Israelândia, GO";13;20;9
"Itacuruba, PE";12;9;9
"Itaguaçu da Bahia, BA";15;13;9
"Itaipulândia, PR";18;9;9
"Itanhandu, MG";8;15;9
"Itaporanga, SP";5;5;9
"Itapuí, SP";5;7;9
"Itaquara, BA";14;13;9
"Itirapuã, SP";4;6;9
"Itiruçu, BA";5;9;9
"Itumirim, MG";6;5;9
"Japi, RN";6;9;9
"Japonvar, MG";7;6;9
"Jardim Olinda, PR";5;7;9
"José Raydan, MG";9;11;9
"Lagoa de Pedras, RN";4;4;9
"Lajinha, MG";8;8;9
"Lindolfo Collor, RS";8;8;9
"Luisburgo, MG";11;8;9
"Lutécia, SP";5;9;9
"Magalhães Barata, PA";7;11;9
"Mar Vermelho, AL";4;5;9
"Marilândia do Sul, PR";1;5;9
"Marilena, PR";3;9;9
"Matina, BA";17;17;9
"Matozinhos, MG";9;13;9
"Maurilândia do Tocantins, TO";11;12;9
"Mineiros do Tietê, SP";5;5;9
"Monções, SP";10;8;9
"Mondaí, SC";5;9;9
"Montes Claros de Goiás, GO";8;8;9
"Mormaço, RS";10;11;9
"Morro Grande, SC";5;9;9
"Muitos Capões, RS";4;10;9
"Nazário, GO";5;10;9
"Nova Aliança do Ivaí, PR";9;11;9
"Nova Bréscia, RS";10;12;9
"Nova Erechim, SC";3;6;9
"Nova Guarita, MT";10;7;9
"Nova Marilândia, MT";8;8;9
"Nova Odessa, SP";8;11;9
"Novais, SP";2;7;9
"Oliveira Fortes, MG";8;7;9
"Oratórios, MG";3;4;9
"Ourizona, PR";4;8;9
"Ouro Verde de Minas, MG";5;8;9
"Paineiras, MG";5;6;9
"Panorama, SP";5;5;9
"Parecis, RO";6;6;9
"Paula Freitas, PR";8;18;9
"Paverama, RS";7;11;9
"Pequi, MG";4;11;9
"Piedade, SP";9;18;9
"Pindorama, SP";5;4;9
"Pintadas, BA";6;6;9
"Pirapetinga, MG";2;14;9
"Piraquê, TO";10;7;9
"Planaltina do Paraná, PR";5;5;9
"Populina, SP";7;12;9
"Portelândia, GO";5;13;9
"Praia Grande, SC";4;5;9
"Pratinha, MG";3;12;9
"Presidente Kubitschek, MG";6;5;9
"Reserva do Cabaçal, MT";11;15;9
"Riachinho, MG";8;22;9
"Riacho de Santo Antônio, PB";4;21;9
"Rio Sono, TO";5;6;9
"Riversul, SP";4;9;9
"Santa Bárbara do Tugúrio, MG";9;8;9
"Santa Fé de Minas, MG";NA;NA;9
"Santa Maria da Serra, SP";2;2;9
"Santa Rita de Minas, MG";9;9;9
"Santa Tereza do Oeste, PR";7;14;9
"Santa Terezinha, MT";6;11;9
"Santana de Pirapama, MG";4;2;9
"Santana do Seridó, RN";13;11;9
"São Bento do Norte, RN";8;12;9
"São Gonçalo do Rio Preto, MG";7;8;9
"São João da Ponta, PA";10;9;9
"São João das Missões, MG";NA;NA;9
"São João do Carú, MA";8;8;9
"São João do Pau d'Alho, SP";NA;NA;9
"São João do Sul, SC";10;8;9
"São José da Boa Vista, PR";8;7;9
"São José do Goiabal, MG";10;6;9
"São José do Jacuípe, BA";10;8;9
"São Pedro da Água Branca, MA";5;8;9
"Saudade do Iguaçu, PR";8;9;9
"Seberi, RS";16;9;9
"Segredo, RS";5;9;9
"Senador Sá, CE";NA;NA;9
"Sericita, MG";8;10;9
"Serra de São Bento, RN";6;15;9
"Serrolândia, BA";13;13;9
"Sertão, RS";7;7;9
"Sete de Setembro, RS";6;9;9
"Silveirânia, MG";6;11;9
"Socorro do Piauí, PI";6;12;9
"Taboleiro Grande, RN";3;7;9
"Tangará, RN";7;14;9
"Taparuba, MG";4;10;9
"Tapiraí, SP";5;10;9
"Taquaral, SP";4;8;9
"Tesouro, MT";9;20;9
"Timbaúba dos Batistas, RN";NA;NA;9
"Tiradentes do Sul, RS";5;7;9
"Três Coroas, RS";8;11;9
"Tucunduva, RS";9;12;9
"Tupanci do Sul, RS";6;13;9
"Ubarana, SP";7;7;9
"Ubiretama, RS";10;9;9
"Umburanas, BA";6;5;9
"Utinga, BA";20;19;9
"Vera Mendes, PI";5;7;9
"Vespasiano Correa, RS";6;12;9
"Vila Pavão, ES";8;15;9
"Vila Rica, MT";14;15;9
"Virginópolis, MG";7;5;9
"Virgolândia, MG";3;11;9
"Witmarsum, SC";NA;6;9
"Água Boa, MG";9;10;8
"Água Doce do Norte, ES";12;21;8
"Água Nova, RN";3;9;8
"Água Santa, RS";5;5;8
"Ajuricaba, RS";9;5;8
"Alagoinha, PB";5;10;8
"Almirante Tamandaré do Sul, RS";6;8;8
"Alpestre, RS";10;8;8
"Alto Alegre, RS";9;6;8
"Alvinlândia, SP";NA;3;8
"Américo de Campos, SP";7;13;8
"Anguera, BA";7;NA;8
"Anta Gorda, RS";8;7;8
"Antônio Prado de Minas, MG";8;8;8
"Aparecida do Rio Doce, GO";5;8;8
"Apuarema, BA";7;7;8
"Araçaí, MG";9;9;8
"Araguaiana, MT";9;8;8
"Araruna, PR";1;9;8
"Arenápolis, MT";2;8;8
"Armazém, SC";3;6;8
"Aroeiras do Itaim, PI";6;10;8
"Astolfo Dutra, MG";6;8;8
"Augusto de Lima, MG";16;8;8
"Balbinos, SP";9;8;8
"Barra Bonita, SC";4;10;8
"Bela Vista do Paraíso, PR";6;6;8
"Belo Monte, AL";4;7;8
"Belo Vale, MG";2;9;8
"Benjamin Constant do Sul, RS";7;6;8
"Boa Vista do Cadeado, RS";9;8;8
"Boa Vista do Gurupi, MA";5;17;8
"Cafeara, PR";3;9;8
"Caldazinha, GO";7;7;8
"Campo Alegre, SC";5;6;8
"Campo Novo, RS";2;4;8
"Cândido Godói, RS";2;5;8
"Capitão Andrade, MG";11;7;8
"Capitão Gervásio Oliveira, PI";5;6;8
"Caraúbas do Piauí, PI";6;8;8
"Cascalho Rico, MG";4;10;8
"Cássia dos Coqueiros, SP";NA;NA;8
"Catiguá, SP";7;7;8
"Cavalcante, GO";5;5;8
"Centenário do Sul, PR";2;5;8
"Central de Minas, MG";4;11;8
"Central, BA";4;13;8
"Chácara, MG";10;10;8
"Cipotânea, MG";6;6;8
"Coivaras, PI";5;4;8
"Comendador Gomes, MG";NA;6;8
"Comercinho, MG";4;21;8
"Conceição da Aparecida, MG";4;5;8
"Conceição do Tocantins, TO";9;15;8
"Congonhal, MG";3;8;8
"Congonhas do Norte, MG";6;7;8
"Cuité de Mamanguape, PB";7;9;8
"Cuparaque, MG";6;6;8
"Curvelândia, MT";8;7;8
"Descoberto, MG";8;7;8
"Dobrada, SP";6;8;8
"Dores de Guanhães, MG";NA;13;8
"Doutor Ulysses, PR";5;4;8
"Durandé, MG";6;6;8
"Erebango, RS";4;5;8
"Erval Grande, RS";4;8;8
"Espírito Santo do Turvo, SP";7;7;8
"Estiva, MG";8;8;8
"Estrela d'Oeste, SP";NA;NA;8
"Feijó, AC";11;25;8
"Floresta do Piauí, PI";2;7;8
"Frei Rogério, SC";5;9;8
"Geminiano, PI";4;6;8
"General Salgado, SP";23;7;8
"Glaucilândia, MG";6;6;8
"Godoy Moreira, PR";7;9;8
"Gongogi, BA";8;7;8
"Guarani, MG";17;12;8
"Guarinos, GO";3;7;8
"Heitoraí, GO";4;7;8
"Hugo Napoleão, PI";8;8;8
"Ibiraci, MG";8;8;8
"Ibirataia, BA";4;12;8
"Ilópolis, RS";6;9;8
"Imigrante, RS";10;7;8
"Inácio Martins, PR";7;8;8
"Independência, RS";12;6;8
"Ipiranga do Norte, MT";1;8;8
"Ipiranga do Sul, RS";NA;5;8
"Ipuiúna, MG";4;4;8
"Iracema do Oeste, PR";5;7;8
"Itabirinha, MG";12;12;8
"Itacarambi, MG";3;8;8
"Itaguara, MG";4;8;8
"Itaju, SP";6;7;8
"Itamogi, MG";13;13;8
"Itaóca, SP";10;8;8
"Itapiranga, AM";7;15;8
"Itapuã do Oeste, RO";5;13;8
"Itapuca, RS";9;13;8
"Itaú de Minas, MG";9;8;8
"Itaúba, MT";6;9;8
"Itaverava, MG";5;9;8
"Ivoti, RS";6;6;8
"Jaborá, SC";5;11;8
"Jaborandi, SP";12;8;8
"Jacaraci, BA";6;6;8
"Jaci, SP";4;8;8
"Jaquirana, RS";NA;7;8
"Jenipapo de Minas, MG";1;8;8
"Jiquiriçá, BA";4;8;8
"João Costa, PI";10;12;8
"Jóia, RS";7;6;8
"José Boiteux, SC";3;8;8
"Juazeiro do Piauí, PI";3;4;8
"Jundiá, RN";4;7;8
"Lagoa do Tocantins, TO";11;7;8
"Lagoão, RS";4;6;8
"Lençóis, BA";5;10;8
"Liberato Salzano, RS";7;9;8
"Lourdes, SP";7;12;8
"Luminárias, MG";5;8;8
"Lupércio, SP";6;9;8
"Mamonas, MG";4;5;8
"Mar de Espanha, MG";5;4;8
"Maratá, RS";8;8;8
"Marcionílio Souza, BA";11;11;8
"Maria da Fé, MG";NA;NA;8
"Mariano Moro, RS";6;5;8
"Marzagão, GO";5;6;8
"Mato Leitão, RS";6;8;8
"Matos Costa, SC";4;7;8
"Mendes Pimentel, MG";6;9;8
"Mendonça, SP";6;7;8
"Meridiano, SP";6;10;8
"Ministro Andreazza, RO";11;8;8
"Miradouro, MG";7;6;8
"Mirassolândia, SP";5;5;8
"Monte Belo, MG";8;8;8
"Monte Negro, RO";3;3;8
"Murici dos Portelas, PI";NA;NA;8
"Mutunópolis, GO";5;9;8
"Natércia, MG";1;5;8
"Nossa Senhora das Graças, PR";NA;NA;8
"Nova Canaã Paulista, SP";3;4;8
"Nova Candelária, RS";6;8;8
"Nova Maringá, MT";13;9;8
"Nova Ramada, RS";6;6;8
"Nova Santa Rita, PI";4;5;8
"Nova Santa Rosa, PR";5;5;8
"Novo Jardim, TO";6;8;8
"Novo Mundo, MT";9;9;8
"Novo Santo Antônio, PI";3;8;8
"Novo São Joaquim, MT";10;10;8
"Onda Verde, SP";10;8;8
"Paraíso, SP";7;5;8
"Paranacity, PR";7;7;8
"Paranapuã, SP";5;4;8
"Passa Quatro, MG";7;8;8
"Pau D'Arco do Piauí, PI";NA;NA;8
"Pauini, AM";1;9;8
"Paulicéia, SP";NA;10;8
"Pedra Bela, SP";5;12;8
"Pedra do Indaiá, MG";7;8;8
"Pinhal de São Bento, PR";6;5;8
"Pinheirinho do Vale, RS";4;9;8
"Pium, TO";10;8;8
"Planalto Alegre, SC";7;8;8
"Planalto, SP";7;8;8
"Pontes Gestal, SP";8;14;8
"Porecatu, PR";5;8;8
"Porto Belo, SC";1;18;8
"Prata, PB";3;6;8
"Pratânia, SP";8;6;8
"Pugmil, TO";10;11;8
"Putinga, RS";7;8;8
"Quatiguá, PR";5;11;8
"Quinta do Sol, PR";8;7;8
"Rafael Godeiro, RN";4;9;8
"Rianápolis, GO";6;13;8
"Ribeira do Piauí, PI";4;12;8
"Ribeirão Cascalheira, MT";7;13;8
"Rio Espera, MG";2;13;8
"Rio Novo, MG";11;5;8
"Rodelas, BA";9;11;8
"Romelândia, SC";4;11;8
"Rondolândia, MT";4;5;8
"Rosário da Limeira, MG";3;5;8
"Rosário do Ivaí, PR";6;7;8
"Rubinéia, SP";9;6;8
"Sales Oliveira, SP";NA;13;8
"Sampaio, TO";4;4;8
"Sandolândia, TO";5;4;8
"Santa Albertina, SP";7;7;8
"Santa Cruz da Esperança, SP";5;9;8
"Santo Antônio do Palma, RS";6;9;8
"Santo Antônio do Planalto, RS";6;6;8
"Santo Expedito do Sul, RS";7;8;8
"São Bento do Sapucaí, SP";11;4;8
"São Cristovão do Sul, SC";8;9;8
"São Felipe D'Oeste, RO";NA;NA;8
"São Gonçalo do Piauí, PI";5;6;8
"São Jorge do Ivaí, PR";7;17;8
"São José de Princesa, PB";4;4;8
"São José do Divino, MG";4;12;8
"São José do Sul, RS";4;5;8
"São Luiz, RR";8;6;8
"São Pedro do Butiá, RS";8;9;8
"Senador Firmino, MG";5;9;8
"Senador Modestino Gonçalves, MG";5;8;8
"Senhora de Oliveira, MG";6;6;8
"Sério, RS";7;11;8
"Serranópolis do Iguaçu, PR";5;6;8
"Sertão Santana, RS";4;7;8
"Severiano de Almeida, RS";6;8;8
"Suzanápolis, SP";6;6;8
"Tapiramutá, BA";7;13;8
"Travesseiro, RS";5;8;8
"Tunas, RS";8;14;8
"Tupirama, TO";5;5;8
"Uchoa, SP";6;6;8
"Uniflor, PR";13;9;8
"Urucânia, MG";9;10;8
"Vale de São Domingos, MT";5;9;8
"Vale Verde, RS";4;10;8
"Vargem Alegre, MG";6;6;8
"Várzea do Poço, BA";7;7;8
"Ventania, PR";11;13;8
"Viadutos, RS";6;9;8
"Victor Graeff, RS";6;9;8
"Abaré, BA";6;7;7
"Abatiá, PR";6;7;7
"Abdon Batista, SC";6;9;7
"Acrelândia, AC";9;13;7
"Adelândia, GO";6;5;7
"Água Doce do Maranhão, MA";3;10;7
"Água Fria de Goiás, GO";6;5;7
"Alegria, RS";5;6;7
"Alfredo Wagner, SC";9;7;7
"Altônia, PR";6;12;7
"Alvarenga, MG";8;9;7
"Alvorada D'Oeste, RO";NA;NA;7
"Amaraji, PE";3;13;7
"Americano do Brasil, GO";6;6;7
"Andrelândia, MG";3;7;7
"Anhanguera, GO";6;10;7
"Antônio Martins, RN";6;6;7
"Antônio Prado, RS";7;13;7
"Aramina, SP";7;5;7
"Areiópolis, SP";9;8;7
"Ariranha do Ivaí, PR";6;9;7
"Arroio Trinta, SC";4;6;7
"Arvoredo, SC";3;3;7
"Arvorezinha, RS";8;7;7
"Assaí, PR";8;10;7
"Ataléia, MG";1;6;7
"Aurora do Tocantins, TO";4;6;7
"Avelino Lopes, PI";7;6;7
"Balneário Rincão, SC";NA;18;7
"Balsa Nova, PR";4;4;7
"Barbosa, SP";4;5;7
"Barracão, RS";13;8;7
"Biquinhas, MG";3;6;7
"Bom Princípio, RS";5;5;7
"Bonfinópolis de Minas, MG";10;6;7
"Boqueirão do Leão, RS";8;10;7
"Boracéia, SP";4;4;7
"Botumirim, MG";9;5;7
"Braga, RS";4;NA;7
"Brasilândia de Minas, MG";2;9;7
"Brasilândia do Sul, PR";4;8;7
"Brejão, PE";9;4;7
"Brejões, BA";8;10;7
"Brunópolis, SC";1;9;7
"Buritama, SP";4;4;7
"Cachoeira da Prata, MG";13;8;7
"Cachoeirinha, TO";1;10;7
"Caibi, SC";7;9;7
"Camacho, MG";6;9;7
"Camanducaia, MG";3;9;7
"Cambará do Sul, RS";5;8;7
